name	country	lat	lon	timezone
les Escaldes	AD	42.50729	1.53414	Europe/Andorra
Andorra la Vella	AD	42.50779	1.52109	Europe/Andorra
Warīsān	AE	25.16744	55.40708	Asia/Dubai
Umm Suqaym	AE	25.15491	55.21015	Asia/Dubai
Umm Al Quwain City	AE	25.56473	55.55517	Asia/Dubai
Ţarīf Kalbā	AE	25.0695	56.33115	Asia/Dubai
Ar Rāshidīyah	AE	25.22499	55.38947	Asia/Dubai
Ras Al Khaimah	AE	25.78953	55.9432	Asia/Dubai
Zayed City	AE	23.65416	53.70522	Asia/Dubai
Khawr Fakkān	AE	25.33132	56.34199	Asia/Dubai
Kalbā	AE	25.0513	56.35422	Asia/Dubai
Jumayrā	AE	25.20795	55.24969	Asia/Dubai
Dubai	AE	25.07725	55.30927	Asia/Dubai
Dibba Al-Fujairah	AE	25.59246	56.26176	Asia/Dubai
Dibba Al-Hisn	AE	25.61955	56.27291	Asia/Dubai
Dayrah	AE	25.27143	55.30207	Asia/Dubai
Sharjah	AE	25.3342	55.41221	Asia/Dubai
Ar Ruways	AE	24.11028	52.73056	Asia/Dubai
Ḩattā	AE	24.80073	56.12726	Asia/Dubai
Fujairah	AE	25.11641	56.34141	Asia/Dubai
Al Ain City	AE	24.19167	55.76056	Asia/Dubai
Ajman	AE	25.40177	55.47878	Asia/Dubai
Adh Dhayd	AE	25.28812	55.88157	Asia/Dubai
Abu Dhabi	AE	24.45118	54.39696	Asia/Dubai
Abū Hayl	AE	25.28413	55.33153	Asia/Dubai
As Saţwah	AE	25.22192	55.27459	Asia/Dubai
Al Ḩamīdīyah	AE	25.40001	55.52925	Asia/Dubai
Al Waheda	AE	25.29173	55.33822	Asia/Dubai
Al Karama	AE	25.24004	55.30106	Asia/Dubai
Al Wasl	AE	25.19881	55.25565	Asia/Dubai
The Palm Jumeirah	AE	25.11607	55.13506	Asia/Dubai
Bur Dubai	AE	25.26038	55.29891	Asia/Dubai
Khalifah A City	AE	24.42588	54.605	Asia/Dubai
Mirdif	AE	25.22443	55.41412	Asia/Dubai
Hawr al ‘Anz	AE	25.27744	55.33675	Asia/Dubai
Mankhūl	AE	25.24612	55.29222	Asia/Dubai
Nāyf	AE	25.27139	55.30323	Asia/Dubai
Al Murar al Qadīm	AE	25.27576	55.30738	Asia/Dubai
Al Warqaa	AE	25.19272	55.42013	Asia/Dubai
International City	AE	25.16383	55.40987	Asia/Dubai
Dubai Marina	AE	25.08525	55.14646	Asia/Dubai
Dubai Internet City	AE	25.09538	55.16171	Asia/Dubai
Al Safa	AE	25.17047	55.23336	Asia/Dubai
Ar Rumaylah	AE	25.40338	55.4334	Asia/Dubai
Al Jurf	AE	25.41814	55.50791	Asia/Dubai
Al Majaz	AE	25.32354	55.38774	Asia/Dubai
Dubai Festival City	AE	25.22177	55.35733	Asia/Dubai
Dubai International Financial Centre	AE	25.2106	55.27787	Asia/Dubai
Dubai Investments Park	AE	25.00827	55.15682	Asia/Dubai
Jebel Ali	AE	25.00255	55.10811	Asia/Dubai
Bani Yas City	AE	24.30978	54.62944	Asia/Dubai
Musaffah	AE	24.35893	54.48267	Asia/Dubai
Al Shamkhah City	AE	24.39268	54.70779	Asia/Dubai
Reef Al Fujairah City	AE	25.14479	56.24764	Asia/Dubai
Al Bada'a	AE	25.22462	55.26888	Asia/Dubai
Al Muteena	AE	25.27375	55.32265	Asia/Dubai
Al Mizhar First	AE	25.24805	55.44128	Asia/Dubai
Dubai Silicon Oasis	AE	25.11985	55.38718	Asia/Dubai
Al Furjan	AE	25.02651	55.14565	Asia/Dubai
Business Bay	AE	25.18544	55.26969	Asia/Dubai
Al Qusais 1	AE	25.27925	55.36995	Asia/Dubai
Halwan	AE	25.34586	55.42165	Asia/Dubai
Al Sajaah	AE	25.31532	55.63211	Asia/Dubai
Lahbab	AE	25.03763	55.59135	Asia/Dubai
Mohammed Bin Zayed City	AE	24.34794	54.55368	Asia/Dubai
Zaranj	AF	30.95962	61.86037	Asia/Kabul
Bāzār-e Yakāwlang	AF	34.73525	66.97379	Asia/Kabul
Taloqan	AF	36.73605	69.53451	Asia/Kabul
Shīnḏanḏ	AF	33.30294	62.1474	Asia/Kabul
Shibirghān	AF	36.66757	65.7529	Asia/Kabul
Shahrak	AF	34.10737	64.3052	Asia/Kabul
Sar-e Pul	AF	36.21544	65.93249	Asia/Kabul
